Scene,Key,KeyID,en,vn,
sidebar,contact_status,sidebar.contact_status,Contact Status,Trạng thái khách hàng,
sidebar,inventory,sidebar.inventory,Inventory,Quản lý kho,
sidebar,products,sidebar.products,Products,Sản phẩm,
sidebar,supplier,sidebar.supplier,Supplier,Nhà cung cấp,
sidebar,transport,sidebar.transport,Transport,Vận chuyển,
sidebar,call_status,sidebar.call_status,Call Status,Trạng thái cuộc gọi,
sidebar,warehouse,sidebar.warehouse,Warehouse,Kho hàng,
sidebar,stock_receipt,sidebar.stock_receipt,Stock issue,Nhập kho,
sidebar,campaign,sidebar.campaign,Campaign,Chiến dịch,
sidebar,order,sidebar.order,Orders,Đơn hàng,
error,login failed,error.login failed,Wrong username/email or password. Please try again ,Tên đăng nhập/email hoặc mật khẩu không chính xác,
error,Internal Server Error,error.Internal Server Error,You have encountered unexpected error. Please refresh website or call us if the problem is still there.,Hệ thống đang gặp sự cố. Vui lòng tải lại trang hoặc liên hệ với kỹ thuật nếu vấn đề còn tồn tại,
error,Authorization Required,error.Authorization Required,Your session is expired. Please sign in,Phiên đăng nhập của bạn đã hết hạn. Vui lòng đăng nhập lại,
error,Access Denied,error.Access Denied,You do not have permission,Bạn không được cấp quyền cho chức năng ngày,
error,oops,error.oops,Oops. Something wrong happened. Please refresh the website or contact with our technical support team if the problem is still there.,Có lỗi xảy ra. Vui lòng tải lại trang hoặc liên hệ với kỹ thuật nếu vấn đề còn tồn tại,
error,cannot empty,error.cannot empty,Cannot be empty!,Không được để trống!,
error,phone_length,error.phone_length,Phone length is incorrect,Độ dài số điện thoại không đúng,
error,phone_pattern,error.phone_pattern,Wrong phone format,Sai định dạng số điện thoại,
error,error404,error.error404,The page you are trying to access does not exist,Trang bạn truy cập không tồn tại,
error,not_found,error.not_found,Oops! Page not found,Rất tiếc! Không tìm thấy trang,
error,contact_name_length,error.contact_name_length,Contact name length is incorrect,Độ dài tên liên hệ không đúng,
loading,loading,loading.loading,Loading,Đang tải,
network,network,network.network,No network connection,Không có tín hiệu mạng Internet,
message,notification,message.notification,Notification,Thông báo,
